Repository,Score
Ed-Fi-Exchange-OSS/DataChecker-Collections,
Ed-Fi-Exchange-OSS/Ed-Fi-X-SpecialEducationEligibility,
Ed-Fi-Exchange-OSS/Meadowlark,8.2
Ed-Fi-Exchange-OSS/Ed-Fi-X-Aspire-Notifications,
Ed-Fi-Exchange-OSS/Ed-Fi-SampleDataGenerator,
Ed-Fi-Exchange-OSS/VPS-Tableau-Dashboard,
Ed-Fi-Exchange-OSS/MappingEDU,
Ed-Fi-Exchange-OSS/ACAN-Research-Spike-Transcript-Transfers,
Ed-Fi-Exchange-OSS/Ed-Fi-EPP-Candidate-Employment-PowerBI-Dashboard,
Ed-Fi-Exchange-OSS/data-validation-extension,
Ed-Fi-Exchange-OSS/Ed-Fi-AlmaAPI-to-Ed-FiAPI-ConsoleApp,
Ed-Fi-Exchange-OSS/WI-DPI-Validations-API,
Ed-Fi-Exchange-OSS/BPS-Staff-Licensing,
Ed-Fi-Exchange-OSS/EdFi-MSSQL-Install-Scripts,
Ed-Fi-Exchange-OSS/Ed-Fi-Java-Example,
Ed-Fi-Exchange-OSS/API-to-AMT-Data-Lake,
Ed-Fi-Exchange-OSS/North-Allegheny-Ed-Fi-Survey-Data-Loader,
Ed-Fi-Exchange-OSS/Ed-Fi-Community-Postman-Collection,
Ed-Fi-Exchange-OSS/.github,
Ed-Fi-Exchange-OSS/Sample-Data-Equity-Analysis,
Ed-Fi-Exchange-OSS/Ed-Fi-ECS-Starter,
Ed-Fi-Exchange-OSS/DataImport-Templates,
Ed-Fi-Exchange-OSS/YesPrep-FamilyEngagementPortal-Web-V2,
Ed-Fi-Exchange-OSS/YesPrep-FamilyEngagementPortal-Mobile-V2,
Ed-Fi-Exchange-OSS/EvaluationTracker,6.3
Ed-Fi-Exchange-OSS/ParallelAPIConsumption,
Ed-Fi-Exchange-OSS/Student-Engagement-Management,
Ed-Fi-Exchange-OSS/n8n-demo-file-to-API,
