,project,count,mean,std,min,25%,50%,75%,max,date
0,AA,80.0,841.3,455.66944492468957,1.0,414.0,783.0,1218.25,1927.0,2024-06-05
1,AC,9.0,90.88888888888889,21.745369877542004,62.0,63.0,99.0,105.0,112.0,2024-06-05
2,ADMINAPI,31.0,200.41935483870967,190.083275468683,6.0,41.0,139.0,298.5,567.0,2024-06-05
3,APIPUB,11.0,208.63636363636363,121.0514541236682,91.0,98.0,182.0,268.0,414.0,2024-06-05
4,DATASTD,160.0,861.16875,644.1885756747587,0.0,301.0,917.0,1267.0,2816.0,2024-06-05
5,DI,105.0,886.3238095238095,526.6060871868755,0.0,461.0,803.0,1192.0,1922.0,2024-06-05
6,DMS,117.0,197.18803418803418,251.03684753657632,0.0,11.0,76.0,321.0,966.0,2024-06-05
7,EDFI,17.0,119.05882352941177,108.78560945055835,1.0,19.0,105.0,236.0,313.0,2024-06-05
8,EPPETA,24.0,203.54166666666666,90.02703901397173,118.0,125.0,166.5,288.0,358.0,2024-06-05
9,METAED,59.0,600.8983050847457,448.4248176294921,5.0,207.0,492.0,927.0,1652.0,2024-06-05
10,MODL,9.0,707.1111111111111,268.573288156345,0.0,760.0,778.0,827.0,847.0,2024-06-05
11,ODS,178.0,817.561797752809,747.7544153336622,0.0,123.0,633.5,1380.0,2961.0,2024-06-05
12,PERF,16.0,456.0625,256.7897891921198,139.0,243.5,340.5,785.75,795.0,2024-06-05
13,TPDMDEV,13.0,743.6153846153846,383.16609506877876,154.0,383.0,972.0,1031.0,1219.0,2024-06-05
