,project,count,mean,std,min,25%,50%,75%,max,date
0,AA,4.0,435.0,197.57530210023722,278.0,285.5,382.0,531.5,698.0,2025-03-19
1,AC,69.0,100.91304347826087,64.86745289444305,0.0,40.0,118.0,160.0,183.0,2025-03-19
2,ADMINAPI,22.0,15.318181818181818,14.42348073582783,0.0,6.0,10.5,14.0,47.0,2025-03-19
3,APIPUB,12.0,280.5833333333333,227.38292025621104,89.0,124.0,182.5,318.75,701.0,2025-03-19
4,DATASTD,122.0,1085.0409836065573,761.2849446176537,12.0,345.5,1150.0,1554.0,3102.0,2025-03-19
5,DI,2.0,311.0,46.66904755831214,278.0,294.5,311.0,327.5,344.0,2025-03-19
6,DMS,102.0,238.30392156862746,271.4489828337891,1.0,35.25,195.0,306.0,1253.0,2025-03-19
7,EDFI,24.0,96.625,39.146117026607754,0.0,68.0,103.0,124.0,166.0,2025-03-19
8,EPPETA,26.0,466.9230769230769,119.54645057948748,186.0,410.25,440.0,573.0,645.0,2025-03-19
9,METAED,59.0,715.6101694915254,525.6403325517774,4.0,278.5,677.0,1127.0,1939.0,2025-03-19
10,MODL,6.0,710.3333333333334,516.4489003441354,1.0,319.0,1028.0,1050.0,1065.0,2025-03-19
11,ODS,81.0,1043.8641975308642,898.5711818365646,0.0,127.0,943.0,1667.0,3248.0,2025-03-19
12,PERF,26.0,506.4230769230769,359.9701291026158,62.0,193.5,509.5,727.25,1082.0,2025-03-19
