,project,count,mean,std,min,25%,50%,75%,max,date
0,AA,81.0,816.716049382716,461.6483844488114,4.0,399.0,768.0,1204.0,1912.0,2024-05-21
1,AC,9.0,76.11111111111111,21.61853628512141,48.0,48.0,84.0,90.0,97.0,2024-05-21
2,ADMINAPI,28.0,206.14285714285714,188.7154852987279,6.0,38.75,172.0,285.0,552.0,2024-05-21
3,APIPUB,11.0,193.63636363636363,121.0514541236682,76.0,83.0,167.0,253.0,399.0,2024-05-21
4,DATASTD,169.0,803.810650887574,652.1865966045647,0.0,230.0,843.0,1244.0,2801.0,2024-05-21
5,DI,110.0,833.290909090909,544.0625190979795,1.0,389.5,767.0,1176.25,1908.0,2024-05-21
6,DMS,101.0,219.8118811881188,252.50816671431787,0.0,35.0,74.0,370.0,951.0,2024-05-21
7,EDFI,13.0,139.84615384615384,99.56977968058895,4.0,84.0,103.0,224.0,298.0,2024-05-21
8,EPPETA,24.0,188.75,89.9836941750632,104.0,110.0,151.5,273.0,344.0,2024-05-21
9,METAED,101.0,1473.4455445544554,1200.0901339086788,0.0,462.0,977.0,3038.0,3259.0,2024-05-21
10,MODL,9.0,694.1111111111111,263.73634772459997,0.0,745.0,763.0,812.0,833.0,2024-05-21
11,ODS,209.0,778.6267942583733,776.5152522461641,0.0,105.0,395.0,1366.0,2946.0,2024-05-21
12,PERF,22.0,427.22727272727275,259.92177061536586,125.0,214.5,286.0,761.0,781.0,2024-05-21
13,TPDMDEV,15.0,656.7333333333333,402.4830904463417,139.0,188.0,736.0,1011.0,1204.0,2024-05-21
