,project,count,mean,std,min,25%,50%,75%,max,date
0,AA,80.0,802.4125,454.5876332429957,11.0,375.0,743.0,1179.0,1887.0,2024-04-26
1,AC,9.0,51.111111111111114,21.61853628512141,23.0,23.0,59.0,65.0,72.0,2024-04-26
2,ADMINAPI,26.0,200.65384615384616,182.93429253318084,9.0,33.5,172.5,260.0,527.0,2024-04-26
3,APIPUB,11.0,168.9090909090909,120.98632529790675,51.0,58.0,143.0,228.0,374.0,2024-04-26
4,DATASTD,159.0,832.6792452830189,635.4326376348469,4.0,268.0,884.0,1227.5,2776.0,2024-04-26
5,DI,115.0,780.3826086956522,547.8847455731283,2.0,324.0,718.0,1131.0,1883.0,2024-04-26
6,DMS,108.0,191.7037037037037,241.93454197980247,0.0,24.0,51.0,325.75,927.0,2024-04-26
7,EDFI,29.0,124.93103448275862,92.8712361415689,10.0,36.0,92.0,199.0,284.0,2024-04-26
8,EPPETA,24.0,163.91666666666666,90.08349589066833,79.0,85.0,127.0,249.0,319.0,2024-04-26
9,METAED,103.0,1421.4660194174758,1204.058999723183,8.0,429.0,913.0,3014.0,3235.0,2024-04-26
10,MODL,256.0,2168.30078125,523.8269054018863,8.0,1787.0,2272.0,2586.0,2745.0,2024-04-26
11,ODS,248.0,905.9475806451613,789.5218106859234,1.0,84.0,915.0,1658.25,2921.0,2024-04-26
12,PERF,22.0,402.3181818181818,259.9482341074554,100.0,189.5,261.0,736.25,756.0,2024-04-26
13,TPDMDEV,15.0,631.8666666666667,402.48848549043106,115.0,163.0,711.0,986.0,1180.0,2024-04-26
