,project,count,mean,std,min,25%,50%,75%,max,date
0,AA,8.0,359.375,261.96833914480146,64.0,114.5,373.0,532.0,709.0,2024-08-16
1,ADMINAPI,24.0,218.04166666666666,226.78480110997907,2.0,25.0,123.0,370.5,639.0,2024-08-16
2,APIPUB,8.0,178.875,212.8302056301488,4.0,28.75,53.5,350.25,486.0,2024-08-16
3,DATASTD,143.0,859.4545454545455,684.0670703389771,0.0,318.0,799.0,1265.5,2888.0,2024-08-16
4,DI,5.0,206.4,310.8718385444394,7.0,64.0,74.0,130.0,757.0,2024-08-16
5,DMS,82.0,247.41463414634146,263.4674740962433,1.0,63.0,128.5,427.5,1038.0,2024-08-16
6,EDFI,33.0,116.0909090909091,111.09381273173015,4.0,36.0,70.0,177.0,385.0,2024-08-16
7,EPPETA,24.0,275.8333333333333,89.99983896926013,191.0,197.0,239.0,360.75,431.0,2024-08-16
8,METAED,58.0,678.5862068965517,451.9529565055769,50.0,308.5,574.5,1001.0,1725.0,2024-08-16
9,MODL,9.0,771.6666666666666,292.4747852379757,0.0,833.0,850.0,899.0,920.0,2024-08-16
10,ODS,115.0,772.6434782608695,777.6604498661618,0.0,53.0,480.0,1394.0,3033.0,2024-08-16
11,PERF,17.0,487.88235294117646,289.40388783518034,63.0,296.0,396.0,857.0,868.0,2024-08-16
