,project,count,mean,std,min,25%,50%,75%,max,date
0,AA,7.0,328.42857142857144,279.602609157388,19.0,56.5,439.0,532.0,664.0,2024-07-03
1,AC,9.0,118.66666666666667,22.06807649071391,90.0,90.0,127.0,133.0,140.0,2024-07-03
2,ADMINAPI,36.0,194.77777777777777,192.9152458036743,4.0,46.5,89.5,315.5,594.0,2024-07-03
3,APIPUB,10.0,215.5,161.9631302351111,13.0,71.25,210.0,312.5,442.0,2024-07-03
4,DATASTD,156.0,904.4038461538462,645.3567033554054,0.0,335.0,968.5,1295.0,2843.0,2024-07-03
5,DI,4.0,211.5,335.5925108421422,19.0,26.5,57.0,242.0,713.0,2024-07-03
6,DMS,113.0,206.10619469026548,253.46038584643958,0.0,20.0,102.0,333.0,994.0,2024-07-03
7,EDFI,24.0,109.66666666666667,108.04816424679066,14.0,25.0,44.0,148.75,340.0,2024-07-03
8,EPPETA,24.0,231.33333333333334,89.99887277877026,146.0,152.0,194.5,316.0,386.0,2024-07-03
9,METAED,63.0,589.5873015873016,459.5254436748161,5.0,192.5,504.0,952.5,1680.0,2024-07-03
10,MODL,8.0,823.5,45.58508528016593,750.0,791.0,829.5,858.5,875.0,2024-07-03
11,ODS,133.0,685.3458646616541,743.8260024331283,0.0,78.0,293.0,1303.0,2989.0,2024-07-03
12,PERF,17.0,443.05882352941177,289.1849474359435,19.0,251.0,351.0,812.0,823.0,2024-07-03
13,TPDMDEV,6.0,924.3333333333334,292.9625687125689,411.0,833.25,1023.5,1059.25,1247.0,2024-07-03
