,project,count,mean,std,min,25%,50%,75%,max,date
0,ODS,357.0,936.0812324929972,777.1060811499768,0.0,81.0,868.0,1692.0,2875.0,2024-03-11
1,METAED,148.0,1218.831081081081,1112.4658544848653,4.0,370.0,555.0,2070.0,3188.0,2024-03-11
2,DMS,24.0,20.666666666666668,12.239162612257235,3.0,11.0,21.0,31.5,54.0,2024-03-11
3,ADMINAPI,568.0,180.92781690140845,66.36593600023188,17.0,103.0,209.0,223.0,528.0,2024-03-11
4,AA,105.0,708.6571428571428,440.3282392054344,66.0,312.0,551.0,1085.0,1841.0,2024-03-11
5,AC,11.0,20.727272727272727,6.214352888127758,11.0,16.0,24.0,26.0,26.0,2024-03-11
6,APIPUB,15.0,126.13333333333334,113.42452913512054,5.0,12.0,96.0,198.5,328.0,2024-03-11
7,DI,105.0,809.0952380952381,513.9145492388924,13.0,376.0,717.0,1106.0,1837.0,2024-03-11
8,EPPETA,24.0,117.75,89.9836941750632,33.0,39.0,80.5,202.0,273.0,2024-03-11
9,DATASTD,518.0,1780.4440154440153,912.7583101985192,11.0,1181.0,1942.0,2319.0,4067.0,2024-03-11
10,MODL,272.0,2042.1433823529412,599.0951769344799,427.0,1701.0,2200.0,2516.5,2699.0,2024-03-11
11,TPDMDEV,28.0,771.8214285714286,410.89307012818443,68.0,375.25,928.0,1133.0,1329.0,2024-03-11
12,EDFI,141.0,467.60283687943263,210.20700271849802,5.0,375.0,537.0,644.0,685.0,2024-03-11
