,project,count,mean,std,min,25%,50%,75%,max,date
0,AA,8.0,447.375,261.96833914480146,152.0,202.5,461.0,620.0,797.0,2024-11-12
1,AC,63.0,33.0,6.801328143541453,13.0,33.0,33.0,33.0,56.0,2024-11-12
2,ADMINAPI,27.0,199.07407407407408,259.4516296887498,6.0,20.5,40.0,349.0,727.0,2024-11-12
3,APIPUB,11.0,205.8181818181818,207.3069309896889,14.0,74.5,124.0,275.5,575.0,2024-11-12
4,DATASTD,153.0,843.4248366013072,724.1505613004223,0.0,182.0,712.0,1343.0,2976.0,2024-11-12
5,DI,3.0,405.3333333333333,383.0526508632114,152.0,185.0,218.0,532.0,846.0,2024-11-12
6,DMS,101.0,192.46534653465346,255.84974357448297,0.0,34.0,85.0,202.0,1127.0,2024-11-12
7,EDFI,5.0,23.8,11.966620241321273,14.0,14.0,18.0,33.0,40.0,2024-11-12
8,EPPETA,26.0,340.9230769230769,119.54645057948748,60.0,284.25,314.0,447.0,519.0,2024-11-12
9,METAED,89.0,704.5505617977528,355.43782256522456,27.0,616.0,622.0,728.0,1813.0,2024-11-12
10,MODL,4.0,916.75,23.641418457162562,883.0,911.5,923.0,928.25,938.0,2024-11-12
11,ODS,179.0,925.2402234636871,795.4368903080064,1.0,195.5,695.0,1484.5,3122.0,2024-11-12
12,PERF,23.0,435.6521739130435,345.73237267832843,4.0,113.5,411.0,693.0,956.0,2024-11-12
