,project,count,mean,std,min,25%,50%,75%,max,date
0,AA,81.0,825.8518518518518,461.6003712929375,13.0,409.0,777.0,1213.0,1921.0,2024-05-30
1,AC,9.0,85.11111111111111,21.61853628512141,57.0,57.0,93.0,99.0,106.0,2024-05-30
2,ADMINAPI,31.0,194.83870967741936,190.00422745721448,0.0,35.5,134.0,293.0,561.0,2024-05-30
3,APIPUB,11.0,202.9090909090909,120.98632529790675,85.0,92.0,177.0,262.0,408.0,2024-05-30
4,DATASTD,160.0,856.19375,643.4810547989895,2.0,295.25,911.0,1261.25,2810.0,2024-05-30
5,DI,107.0,865.1588785046729,534.0915960863372,8.0,437.5,792.0,1186.0,1917.0,2024-05-30
6,DMS,112.0,203.60714285714286,251.22644597200977,1.0,14.0,76.5,332.5,961.0,2024-05-30
7,EDFI,16.0,121.6875,106.82241883924304,0.0,15.25,103.0,231.5,307.0,2024-05-30
8,EPPETA,24.0,197.95833333333334,90.14263053949396,113.0,119.0,161.0,283.0,353.0,2024-05-30
9,METAED,96.0,554.0208333333334,377.2057369426612,0.0,429.0,455.0,615.0,1728.0,2024-05-30
10,MODL,8.0,790.125,45.40118783845702,717.0,758.0,796.0,824.5,842.0,2024-05-30
11,ODS,254.0,830.996062992126,741.8821726441506,0.0,118.0,589.0,1375.0,2955.0,2024-05-30
12,PERF,22.0,436.3181818181818,259.9482341074554,134.0,223.5,295.0,770.25,790.0,2024-05-30
13,TPDMDEV,13.0,738.0,383.04090295075974,149.0,378.0,966.0,1025.0,1214.0,2024-05-30
